video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=xm0p6EV3dms&pp=ygUSYXVzdGluIHJlbnQgcHJpY2Vz,/@NewsNation,NewsNation,"Austin, Texas, becoming the most affordable rental market in US | NewsNation Now",2.4K,3 months,"Eric Peterson, owner of Kopa Real Estate, says the surge of companies moving to Austin, Texas, and the city's affordable housing ...",2026-02-03 04:16:36.065150
/watch?v=o5U_H7gT5QM&pp=ygUSYXVzdGluIHJlbnQgcHJpY2Vz,/@sarai.anique,sarai anique,"AUSTIN APARTMENT HUNTING VLOG | touring , rent prices, + tips✨",12K,1 year,"WELCOME TO MY CHANNEL! #vlog #movingvlog #apartmenthunting I'm so excited to share my new journey with you guys, ...",2026-02-03 04:16:36.066826
/watch?v=h89Y9XjkWZ4&pp=ygUSYXVzdGluIHJlbnQgcHJpY2Vz,/@eduardoduranatx,"Moving to Austin, Texas - Eduardo Duran",Affordable Apartment In Austin Texas | The Zoey Apartments  (PRICE | TOUR | DOWNTOWN VIEWS),7.4K,1 year,"Take a peek inside the Zoey Apartments in Austin, Texas! Get a tour of these luxurious high-rise apartments with stunning ...",2026-02-03 04:16:36.068763
/watch?v=yTyvFYEP9xY&pp=ygUSYXVzdGluIHJlbnQgcHJpY2Vz,/@AustinApartmentLiving,Austin Apartment Living,What to Know When Renting Apartments in Austin Texas!,5.8K,2 years,"Austin area recommendations in 3 mins: https://bit.ly/austin-areas With apartment rent prices changing daily, pricing will be ...",2026-02-03 04:16:36.072424
/watch?v=gXF_CBK1A8s&pp=ygUSYXVzdGluIHJlbnQgcHJpY2Vz,/@FOX7Austin,FOX 7 Austin,Austin housing market: Rent prices fall but tenants see little relief | FOX 7 Austin,4K,3 months,"Rent prices in Austin have dipped slightly, but rising fees and income-linked rent limits mean many residents are still struggling to ...",2026-02-03 04:16:36.073846
/watch?v=t4YOXYsD1sA&pp=ygUSYXVzdGluIHJlbnQgcHJpY2Vz,/@AustinApartmentLiving,Austin Apartment Living,Apartment Rent Market Update | Austin TX | August 2025,352,5 months,"Austin area recommendations in 3 mins: https://bit.ly/austin-areas With apartment rent prices changing daily, pricing will be ...",2026-02-03 04:16:36.075697
/watch?v=38ACs0gNZrA&pp=ygUSYXVzdGluIHJlbnQgcHJpY2Vz,/@uptin,Uptin,Silicon Valley Moved to Austin. Then Regretted It.,1.8M,7 months,Austin saw the biggest price drop in homes in the United States. So what's happening to the city that was luring Silicon Valley?,2026-02-03 04:16:36.078971
/watch?v=NfKSj8Y4gZY&pp=ygUSYXVzdGluIHJlbnQgcHJpY2Vz,/@AustinApartmentLiving,Austin Apartment Living,Here’s What’s Impacting Your Monthly Rent Price!,306,11 months,"Austin area recommendations in 3 mins: https://bit.ly/austin-areas With apartment rent prices changing daily, pricing will be ...",2026-02-03 04:16:36.080542
/shorts/vO_16EBIMMw,/@financiallyclips,Financially Clips,Is $1300 Rent Even Possible In Austin?,10K,4 months,"This clip delves into the reality of living in austin texas, specifically focusing on rent cost and the challenges of austin affordability.",2026-02-03 04:16:36.083214
/shorts/n2czmf-X2rk,/@JordanSuber-real-estate,Jordan Suber | Real Estate Investing,Why Renting Might Be Costing You More Than You Think In Austin Texas!,727,10 months,Every rent payment you make is building someone else's equity. Let that sink in! If you're curious about how buying a home could ...,2026-02-03 04:16:36.085366
/watch?v=SJxwqzZ2KDc&pp=ygUSYXVzdGluIHJlbnQgcHJpY2Vz,/@AustinApartmentLiving,Austin Apartment Living,"The 3 Things You Should Know About Average Rent Prices for Apartments in Austin, TX!",152,1 year,"Austin area recommendations in 3 mins: https://bit.ly/austin-areas With apartment rent prices changing daily, pricing will be ...",2026-02-03 04:16:36.086937
/watch?v=1pQQ9Ux15Eg&pp=ygUSYXVzdGluIHJlbnQgcHJpY2Vz0gcJCZEKAYcqIYzv,/@FOX7Austin,FOX 7 Austin,Austin apartment rent prices have come down | FOX 7 Austin,3.3K,1 year,"Apartment prices have actually come down significantly in the last year, and there are plenty of bargains to be had. 7 On Your ...",2026-02-03 04:16:36.088417
/watch?v=O-2Axg5D1_8&pp=ygUSYXVzdGluIHJlbnQgcHJpY2Vz,/@AustinApartmentLiving,Austin Apartment Living,"4 Things to Know About Apartment Rent Pricing in Austin, TX!",641,1 year,"Austin area recommendations in 3 mins: https://bit.ly/austin-areas With apartment rent prices changing daily, pricing will be ...",2026-02-03 04:16:36.089933
/watch?v=NxEHFzX_rd0&pp=ygUSYXVzdGluIHJlbnQgcHJpY2Vz,/@kxan_news,KXAN,What are Austin’s cheapest neighborhoods for renters?,820,10 months,After Real estate experts reported in December Austin had the largest rent decrease between 2023 and 2024 of the country's ...,2026-02-03 04:16:36.091447
/watch?v=BGQXisPouME&pp=ygUSYXVzdGluIHJlbnQgcHJpY2Vz,/@AustinApartmentLiving,Austin Apartment Living,Apartment Rent Market Update | Austin TX | June 2025,398,7 months,"Austin area recommendations in 3 mins: https://bit.ly/austin-areas With apartment rent prices changing daily, pricing will be ...",2026-02-03 04:16:36.092864
/shorts/XTQGtKHs9js,/@ApartmentAceGroup,Apartment Ace Group | Your TX Relocation Experts ,"🏡 Affordable Luxury Apartments in Austin, TX! 💰✨ follow @apartmentacegroup",28K,1 year,"Free Texas Apartment Matching Service https://apartmentace.rent Austin, TX Starting at $1676 The Apartment Ace Group will save ...",2026-02-03 04:16:36.094439
/watch?v=8efioXP10ks&pp=ygUSYXVzdGluIHJlbnQgcHJpY2Vz,/@ReventureConsulting,Reventure Consulting,"Why investors are fleeing Austin, TX (rental market downturn)",117K,8 months,"Rental rates are now dropping across the U.S. according to new data from Redfin, with the biggest decline occurring in Austin, TX, ...",2026-02-03 04:16:36.095897
/shorts/79_FXqfhXUU,/@CalebHammer,Caleb Hammer,Why Rent In Austin Texas is CHEAP,1.2M,10 months,Download my budgeting app today: https://calebhammer.com/app - don't overcomplicate this crap! All you need is an automated ...,2026-02-03 04:16:42.980408
/shorts/9l7H8_hoeno,/@Homebydom,Dominique Anderson | Home by Dom,Rent Prices in Austin Texas,1.9K,3 years,The median rent price for a one bedroom Austin is about $1450. And the median two bedroom is $1770. 10 years ago you could ...,2026-02-03 04:16:42.982002
/shorts/U-Jd2wh6Diw,/@KVUETV,KVUE,Lower rent prices are impacting the Austin housing market,1.1K,4 days,"Austin rent prices are falling, and experts expect home prices will stabilize in 2026.",2026-02-03 04:16:42.983878
/watch?v=d6-V1L4XLAo&pp=ygUSYXVzdGluIHJlbnQgcHJpY2Vz,/@seantippsaustin,Sean Tipps | Austin Realtor,"Moving to Austin, Texas in 2026? Real Cost of Living EXPLAINED 💰",619,8 months,"Moving to Austin, Texas? Get the ULTIMATE Austin relocation guide! https://realtytipps.com/austin-relocation-guide Moving to ...",2026-02-03 04:16:42.991145
/shorts/0VXhvzYwQQU,/@LaurenHayter,Lauren Hayter ,"1 bedroom unit UNDER $900 in Austin, Texas!?!?",12K,1 year,DM me on IG for information! IG: laurenhayter.,2026-02-03 04:16:42.992632
/shorts/_xkAi-VMs0A,/@atxaptguide,ATX Apartment Guide,Living in Austin on a Budget: Studio Apartment Tour,876,8 months,"Moving to Austin? Check out this affordable studio apartment! In this video, we tour a modern studio apartment in the heart of ...",2026-02-03 04:16:42.994627
/watch?v=1de-pOiE54k&pp=ygUSYXVzdGluIHJlbnQgcHJpY2Vz,/@AustinApartmentLiving,Austin Apartment Living,Austin Apartment Rent Averages by Neighborhood Update!,166,9 months,"Austin area recommendations in 3 mins: https://bit.ly/austin-areas With apartment rent prices changing daily, pricing will be ...",2026-02-03 04:16:42.995964
/watch?v=tWqKz-nkzro&pp=ygUSYXVzdGluIHJlbnQgcHJpY2Vz,/@AustinTX,Living in Austin Texas,Rent vs Buy in Austin 2025: Real Cost Comparison of 3 Homes in Same School Zone!,873,8 months,Rent vs Buy in Austin 2025 #texasrealestate #austinliving #propertyinvestment Should you rent or buy a home in Austin in 2025?,2026-02-03 04:16:42.999301
/watch?v=ZdBjBE486kQ&pp=ygUSYXVzdGluIHJlbnQgcHJpY2Vz,/@eduardoduranatx,"Moving to Austin, Texas - Eduardo Duran","BEST LOCATED Luxury High Rise Apartment in Downtown Austin, Texas! Hanover Republic Square",9.6K,6 months,"Join us for a tour of Hanover Republic Square, where we explore the epitome of luxury living in Austin, Texas. This luxury ...",2026-02-03 04:16:43.001211
/watch?v=ZliAoDJJmHE&pp=ygUSYXVzdGluIHJlbnQgcHJpY2Vz,/@CurlieCrys,Crystal Nicole,"LUXURY APARTMENT HUNTING IN AUSTIN, TX! (with prices $$$)",23K,4 years,"We are moving!! Come apartment hunting with me in Austin, TX in hopes to find the perfect spot (prices included)!! Our top MUST ...",2026-02-03 04:16:43.003234
