video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=2T5SIuRa2wc&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@KVUETV,KVUE,Zoning ordinance reinstated by Austin City Council,234,1 year,Developers can now build higher as long as they invest in affordable housing. Related coverage: ...,2026-02-03 04:17:15.369294
/watch?v=PI2uqyzV1AM&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@KVUETV,KVUE,Push back mounting over Austin's zoning changes,2K,1 year,"The Austin City Council decided to delay a decision on two projects that would build large, mixed-use developments in residential ...",2026-02-03 04:17:15.370848
/watch?v=fvPUnYbQ5Ys&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@KVUETV,KVUE,South Austin zoning ordinance may cause housing deficit | KVUE,1.4K,3 years,A South Austin neighborhood recognized as a nationally historic neighborhood is worried that current zoning ordinances are ...,2026-02-03 04:17:15.373088
/watch?v=T4WYCwChkqU&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@KVUETV,KVUE,Zoning program aiming to let developers build higher in exchange for affordable housing,589,1 year,The DB90 program replaces similar zoning plans struck down by a county district judge last year. Read more: ...,2026-02-03 04:17:15.375002
/watch?v=kiv2n9mqbak&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@KVUETV,KVUE,Concerns over proposed Austin zoning changes,919,2 years,"This week, Austinites can weigh in on some big proposed zoning changes aimed at boosting housing density. But some worry ...",2026-02-03 04:17:15.376762
/watch?v=yiIm5piOrAc&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@kxan_news,KXAN,More housing in Austin? Commission comes up with new zoning plan,397,2 years,"In an attempt to work around Austin's decades-old Land Development Code (LDC), the planning commission is working on a new ...",2026-02-03 04:17:15.378772
/watch?v=oH_AdOaJ_wg&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@KVUETV,KVUE,Possible zoning changes could threaten iconic Austin businesses,693,1 year,"Some businesses are already preparing to leave, as a developer plans to turn the area into residential housing. Read more: ...",2026-02-03 04:17:15.380732
/watch?v=ZRAcBHqSbQg&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@monikasuhnholz479,Monika Suhnholz,Zoning Reform: Austin's Affordable Housing Solution,No,1 year,realestate #realtor #dreamhomes #homebuyers #realestateagent #homesofinstagram #properties #homesearch ...,2026-02-03 04:17:15.382243
/watch?v=8ms81F_-2Dk&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@RealtyHack,RealtyHack,Austin Zoning and Affordability Issues SOLVED,875,3 years,What's wrong with Austin's Zoning issues. You may have read that the city has the highest development fees in the state.,2026-02-03 04:17:15.384694
/watch?v=Hyuo7-01FJg&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm3SBwkJkQoBhyohjO8%3D,/@KVUETV,KVUE,New efforts to densify housing in Austin | KVUE,2.5K,2 years,Austin's city leaders could start a new attempt to change some zoning rules. It would make it easier to densify housing and create ...,2026-02-03 04:17:15.386253
/watch?v=srSVdgk8HTY&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@FOX7Austin,FOX 7 Austin,Judge rules against City of Austin in zoning lawsuit | FOX 7 Austin,1.1K,2 years,A judge has put a stop to some of the initiatives the Austin City Council has taken to address housing affordability. Attorney Doug ...,2026-02-03 04:17:15.387772
/watch?v=94UEBj8e7qo&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@business,Bloomberg Originals,How to Keep Austin Affordable,14K,2 years,The American dream of owning a home is harder than ever. It's especially out of reach for Austinites. We traveled to Texas to learn ...,2026-02-03 04:17:15.389211
/watch?v=WeUaJ9yGG-M&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@theurbaninstitute,Urban Institute,Zoning Reforms That Improve Access to Housing for All: Evidence and Lessons for Advocates,719,1 year,"Join the Urban Institute and guests as we discuss how states and localities have embraced zoning reform, the evidence ...",2026-02-03 04:17:15.391182
/watch?v=r9KzmoHk-Kk&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@kxan_news,KXAN,"Common questions about Austin's Land Development Code changes, upzoning and property value appraisal",171,6 years,KXAN's Yoojin Cho explains homeowner concerns.,2026-02-03 04:17:15.393643
/watch?v=xSR5tqeL1l4&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@FOX7Austin,FOX 7 Austin,Austin City Council member speaks on land development code revisions,103,5 years,"This week, the Austin City Council is expected to take up the second of three votes on the new land development code.",2026-02-03 04:17:15.396846
/watch?v=MMLkhWAiWUA&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@CBSAustin,CBS Austin,Community leaders rally against Austin's zoning changes,785,1 year,"The Austin City Council is set to vote on the ""HOME"" Phase 2 initiative, which proposes zoning changes to increase housing ...",2026-02-03 04:17:15.398943
/shorts/bO6yr5QJ5p8,/@CBSAustin,CBS Austin,Minimum lot sizes reduced in Austin to boost housing affordability,11K,1 year,"The Austin City Council passed controversial changes to the city's land development code, reducing minimum lot sizes for ...",2026-02-03 04:17:15.400540
/watch?v=6fofrKSUFug&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm3SBwkJkQoBhyohjO8%3D,/@kxan_news,KXAN,Texas House revives zoning reform bill to lower minimum lot sizes,265,8 months,"Senate Bill 15, which limits city control over residential lot sizes, narrowly survived a procedural challenge and is now up for a final ...",2026-02-03 04:17:15.401906
/watch?v=Keove83eL8E&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@kxan_news,KXAN,Some Central Austin neighbors against proposed land development code,524,6 years,The City of Austin is working to revise the city's decades-old land development code and released a draft of the new plan at the ...,2026-02-03 04:17:15.403297
/watch?v=8hftN9XpAM4&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@kxan_news,KXAN,Housing units on E. Riverside Drive/S. Pleasant Valley will more than triple,158,6 years,Austin's Planning Commission approved a zoning change that would allow a developer to more than triple the number of housing ...,2026-02-03 04:17:22.850513
/watch?v=CsS1LXscs3s&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm3SBwkJkQoBhyohjO8%3D,/@austinsierraclub4165,Austin Sierra Club,"Jay Blazek Crossley: Land use, Transportation, Planning, and Equity Reforms",34,1 year,"Austin Sierra Club General Meeting, Tuesday, February 13, 2024. Jay Blazek Crossley, Executive Director of Farm&City.org, ...",2026-02-03 04:17:22.851953
/watch?v=SAcVbwHlhyM&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@RealtyHack,RealtyHack,Zoning Changes Austin,306,1 year,What would it be like to see 8 or 9 story buildings on the side of S Lamar or S Congress? What is proposed for the changes in ...,2026-02-03 04:17:22.855407
/watch?v=AHBsivMDJZg&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@DallasHousingCoalition,Dallas Housing Coalition,Parking Reform: Lessons Learned from Austin,22,Streamed 11 months,The Dallas Housing Coalition hosted a hybrid event with virtual speakers from the Parking Reform Network and the City of Austin.,2026-02-03 04:17:22.856826
/watch?v=xBWFWhMy1pU&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@FOX61News,FOX 61,Debate on statewide planning and zoning reforms set for Monday,118,4 years,"The legislation aims to create walkable communities with affordable housing, but some say local boards know best.",2026-02-03 04:17:22.858172
