video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=tD0jI8Z5t8w&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@TMM-TheMoneyManual,The Money Manual,Rent in Seattle – How Much It Really Costs (2025 Zone-by-Zone Breakdown),544,5 months,"Seattle is one of the most expensive cities in America—but not every neighborhood costs the same. In this video, we ranked 12 ...",2026-02-03 04:08:50.303675
/shorts/vz75ESb1bUg,/@vmhometeamwa,VM Home Team | WA Real Estate,The TRUE Cost of Living in Seattle REVEALED! #livinginseattle,8K,2 years,WATCH ENTIRE VIDEO HERE: https://youtu.be/WODkMsiXX1s ⭐️ BOOK A BUYER/SELLER CONSULTATION: ...,2026-02-03 04:08:50.305074
/shorts/XVdokqx8yi4,/@ThachNguyen,Thach Nguyen,How Much A 275 sqft. Micro Apartment Rents For In Seattle 🏢,17K,2 years,How much the 275 ft apartment rent for in Seattle in this micro apartment the typical Studio size range from 250 ft to 300 Square ft ...,2026-02-03 04:08:50.306256
/watch?v=xoMorMcibic&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@KING5Seattle,KING 5 Seattle,"Seattle rent prices on the rise, Zillow says",3.3K,2 years,A Zillow report found rent in Seattle rose 4% year-over-year.,2026-02-03 04:08:58.175124
/watch?v=g_A9Wu3X9uo&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@Kikiosity2025,Kikiosity,SEATTLE APARTMENT HUNTING (w/ rent prices + tours + tips),9.8K,7 months,"Moving to Seattle? Looking for an apartment in Seattle🏙️? In this video, I'm being completely transparent about my apartment ...",2026-02-03 04:08:58.179544
/watch?v=NmQkYkSCV88&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@JasonRantz,Jason Rantz,Seattle rent is about to come crashing down,34K,2 months,Some big economic news in the Seattle region is why you can expect rents to start to come down. But it's not great news.,2026-02-03 04:08:58.181220
/watch?v=ISo7ZgulTWY&t=44s&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@matthewchapmanrealtor,Living in Seattle & Bellevue with Matthew Chapman ,Seattle Cost of Living 2025: Is it Worth It?,4.5K,1 year,"Seattle Cost of Living 2025: Is it Worth It? - Matthew Chapman Thinking about moving to Seattle? In this video, we're diving into ...",2026-02-03 04:08:58.183592
/watch?v=JWavF5mCoDY&pp=ygUTc2VhdHRsZSByZW50IHByaWNlcw%3D%3D,/@AntonStetner,Anton Stetner,"WARNING: If You Rent in Seattle, Watch This Now",3.8K,1 month,"WARNING for Seattle renters: If you think free rent, concessions, and easy lease terms will last… they won't. Seattle is flying ...",2026-02-03 04:08:58.187513
/shorts/eeJfGv4Ktsw,/@DannyGrecoHomes,Moving to Seattle,Seattle's High Cost: See What Income Rent/Buy Requires!,926,7 months,Seattle Reality Check: How Much Income Do YOU Need? Ever wonder the true cost of living in Seattle? We break down the ...,2026-02-03 04:08:58.188976
/watch?v=Y3hy5Ws3lU0&pp=ygUTc2VhdHRsZSByZW50IHByaWNlc9IHCQmRCgGHKiGM7w%3D%3D,/@heyitstiffanychen,Tiffany Chen,Seattle Apartment Hunting with $1300 Budget | Starting Fresh & Exploring the City,119K,4 months,"I just moved to Seattle, and this vlog captures my first week settling into a brand new city. From apartment hunting to discovering ...",2026-02-03 04:08:58.190294
